X,Y,Gravel,Sand,Silt,Clay
1.965,2.807,0.895,60.72,89.68,12.6
3.559,4.009,4.02,21.08,52,6.16
2.267,4.189,0.56,12.72,39.64,6.64
2.965,1.002,1.39,57.2,129.2,10.36
3.12,1.469,1.91,11.6,69.16,2.12
3.454,4.654,1.07,10.88,29.88,7.8
1.071,1.567,0.795,9.92,37.48,9.96
3.573,3.542,0.55,50.4,77.2,9.56
3.331,4.609,1.255,49.6,80.4,7
3.541,1.739,2.055,10.8,43.6,6.32
3.303,3.963,1.22,51.6,80.8,11
3.316,2.987,0.975,30.1,48.8,14.6
1.879,1.171,0.465,23.32,54.8,4
1.122,2.267,1.145,14.8,47.6,11.08
4.423,1.078,1.525,22,46.8,16.92
1.241,1.155,1.455,7.28,36.52,4.52
1.706,1.848,1.12,20.72,41.2,11.92
3.26,5.42,1.819,17.6,35.8,11.72
4.081,0.897,0.495,14.32,32.76,11.2
3.077,2.926,2.12,12.32,42.4,10.12
3.406,4.741,2.15,28.96,42.8,7.32
3.699,3.8,0.65,35.56,80.8,11.6
1.619,2.883,0.84,22.84,50.4,6.8
3.196,1.814,3.925,47.4,84.16,12.92
3.447,4.733,1.98,27.12,39.92,8.4
3.009,4.738,0.45,12.44,34,3.53
3.452,4.736,2.96,38.96,70.4,7.2
2.908,1.263,1.685,9.4,34.56,9.84
4.578,1.512,1.305,17.5,38.96,13.52
3.512,5.124,4.227,16.88,34.64,9.64
3.312,2.991,0.98,22.7,41.6,12.52
2.159,2.041,1.57,17.44,49.6,10.44
4.742,1.381,0.86,15.12,32.84,11.88
3.592,4.027,2.17,12.52,37.68,10.84
3.152,3.272,1.56,34,76.4,12.8
4.781,1.375,0.81,12.08,36.28,10.88
2.319,2.405,1.71,56.24,104.68,12.84
3.617,2.084,0.845,27.92,78.8,12.8
2.278,0.929,0.357,13.24,35.4,4.08
3.792,2.695,1.535,5.88,55.2,6.76
4.113,2.7,1.285,13.64,84.4,1.55
3.043,4.698,1.82,7.6,27.04,3.92
3.271,2.16,0.945,37.4,59.04,13.32
1.433,1.525,1.605,13.48,49.6,7.36
3.184,2.098,2.23,24.6,44.88,11.92
3.675,4.293,0.89,4.4,26.76,8.6
3.681,5.69,1.898,15.16,59.2,12.64
2.461,3.423,0.37,15.72,29.36,3.14
4.576,1.411,1.38,15.64,34.44,11.28
2.223,0.58,0.285,14.16,44,9.6
3.031,1.201,0.61,16.4,52.56,6.44
3.347,2.505,0.625,5.36,41.2,6.96
2.465,4.003,0.325,9.72,24.64,3.19
3.175,2.102,1.985,18.92,42.68,12.2
3.733,0.974,0.95,15.4,36.6,8.92
3.085,1.677,2.04,26.2,63.92,11.8
2.595,3.638,0.325,17.52,44.4,3.71
4.279,3.283,0.83,19.2,36.36,13.36
2.933,0.978,0.8,166.4,146.8,12.4
3.59,4.033,2.08,11.52,37.56,7.92
2.883,1.237,2.55,12.12,36.56,8.52
2.429,1.62,2.235,31.96,77.6,11.84
2.333,2.417,1.435,53.2,107.6,9.12
0.626,1.652,0.375,4.2,37.12,7.28
2.969,0.778,1.93,77.32,157.28,12.44
0.971,1.576,1.215,9.8,35.64,10.08
1.392,1.846,1.05,7.44,37.68,10.6
2.54,3.32,1.26,17.2,53.6,9.76
1.738,1.771,0.685,19.64,41.6,11.92
2.243,3.031,0.705,19.2,34,11.8
3.656,2.63,1.385,9.23,80.4,2.07
2.325,4.143,0.505,14,33.24,5.48
4.55,1.416,1.74,18.1,41.6,12.4
4.325,1.436,0.56,19.4,36.76,11.6
3.669,4.291,1.917,8.4,35.12,8.44
1.877,1.186,0.32,26.16,45.2,3.8
3.044,1.123,0.63,18.04,38.24,12
3.001,2.581,4.18,8.2,42.04,9.6
3.136,2.091,1.11,17.92,38.72,14.2
2.633,3.65,0.425,16.2,50.4,3.09
3.721,4.239,0.28,18,41.2,8
2.333,2.367,1.39,59.16,101.92,12.36
4.038,2.354,2.805,10.5,44,12.2
3.117,1.702,1.71,30,58.6,14.12
1.824,0.999,0.165,23.64,56.4,3.75
2.85,1.89,1.36,8.68,53.6,2.81
2.502,3.988,0.24,20.72,22.36,3.76
1.443,1.509,1.445,15.4,50.8,7.76
2.008,1.35,0.515,16.04,35.04,5
2.978,4.009,0.56,8.35,25.4,6.52
1.662,1.425,0.905,44.4,82,11.24
1.587,1.08,0.605,26.24,54,5.16
3.994,3.814,2.423,32.52,80.4,14.48
4.383,2.279,0.785,6.72,43.6,7.48
2.901,4.919,0.81,5.48,28.8,4.64
4.156,1.242,1.1,5.72,32.48,7.84
4.475,3.526,0.951,38.96,78.8,15.28
2.58,3.654,0.275,7.48,20.2,3.55
0.701,1.997,1.58,9.84,64.8,12.6
3.649,3.887,1.06,26.44,51.2,11.48
2.623,0.853,2.58,29.24,59.2,11.64
1.315,1.975,3.68,14.44,56.4,11.12
3.656,2.67,1.875,9.52,70,11.12
4.426,0.821,0.805,8.76,27.2,13
2.882,3.693,0.535,8.76,27.04,4.6
1.108,1.535,2.055,60,195.6,8.08
4.48,1.089,0.555,10.8,36.52,10.28
1.468,2.192,1.51,10.88,44.4,10.92
2.319,4.103,0.58,20.52,34.88,5.48
3.585,4.04,1.97,24.64,66,8
3.647,3.786,0.765,42,70.8,13.84
2.31,2.732,0.735,17.68,39.2,12.72
3.962,2.009,1.445,42.92,78.4,12.4
3.47,5.555,2.234,12.52,48.4,13.48
1.839,0.995,0.225,27.72,55.6,4.24
1.706,1.165,0.74,25.52,60.8,4.36
2.774,1.544,1.915,19.32,45.72,8.44
3.493,5.092,3.421,14.8,34.32,9.8
1.695,3.227,1.835,10.88,56.68,5.88
4.409,1.084,1.77,18.92,48.8,17.32
2.596,3.212,3.995,15.92,45.16,8.64
1.897,1.22,0.26,9.24,27,3.48
2.083,1.695,0.44,11.28,56.4,6
3.673,4.278,1.015,7.36,34,9.28
2.731,3.002,0.485,6.6,32.44,9
4.264,3.391,2.828,79.2,135.2,11.16
3.792,2.707,1.38,6.44,45.6,8.16
3.39,1.048,1.66,24.6,57.28,10.12
3.184,5.075,0.685,11.36,23.68,7.08
3.644,2.677,0.93,6.77,51.2,9.56
3.504,5.13,5.129,14.76,36.8,8.6
2.242,3.036,0.725,17,34.08,10.32
3.332,4.628,0.74,96,59.2,4.52
3.498,3.196,0.99,14.5,36.24,15.12
1.883,1.176,0.195,25.12,49.6,3.92
3.322,3.001,1.34,25.3,44.4,14.32
1.047,1.922,1.24,18.32,52,14.2
3.843,3.121,1.84,33.32,44.4,10.8
1.301,0.599,0.91,21.2,64.8,13.24
1.106,1.548,1.27,19.12,65.2,9.16
1.114,1.535,1.48,106.8,226.4,9.12
1.511,0.734,1.245,22.64,64.4,7.84
1.317,1.501,1.385,120.8,66.4,6.44
1.439,1.523,1.72,16.4,52.4,7.24
1.651,1.157,0.525,26.28,46.4,3.88
1.701,1.169,0.69,17.04,52.4,4.24
1.857,0.659,3.53,66,118,10.08
1.346,1.954,0.93,9,38.12,10.56
1.354,1.966,1.165,8.64,38.32,10.72
1.35,1.97,3.81,17.92,64.8,10.12
1.932,1.004,0.135,10.44,37,4.52
1.837,1.037,0.215,23.44,46.8,3.88
1.69,1.858,1.775,29.76,54.8,12.96
1.72,1.833,0.585,24.36,50,11.6
1.543,2.537,1.563,26.72,52.4,10.4
2.353,1.274,0.275,8.24,32.56,4.32
1.889,2.462,2.505,12.16,65.2,10.2
2.327,2.417,1.385,58.72,116.48,9.68
2.504,1.965,1.79,19.92,62.36,10.44
2.599,1.996,2.115,61.32,172.12,13.16
2.561,1.984,1.63,18.08,63.16,13.56
2.898,1.274,2.7,15.56,38.28,6.52
2.902,1.263,4.495,10.24,32.92,10.32
3.085,1.214,0.765,37.6,68.4,7.68
3.046,1.205,0.4,9.6,32.76,11.16
3.025,1.201,0.32,12.92,40.2,5.6
2.04,3.153,0.655,17.2,41.88,5
2.234,2.737,1.11,10.28,47.8,14.6
2.22,2.732,0.77,16,44.4,12.28
2.224,2.728,1.205,11.36,41.04,13.8
2.58,2.311,1.555,15.4,51.24,8.84
2.254,3.045,0.575,31.8,54.28,9.68
2.656,2.656,0.525,79.2,138.56,12.52
3.465,1.393,0.705,48.72,86.68,12.52
2.553,3.314,0.99,9.28,38,8.8
2.538,3.314,1.655,31.52,90.36,8.96
2.402,3.979,0.515,13.12,26.96,4.08
2.456,3.99,0.35,11.6,27.68,3.27
2.537,3.768,0.23,8.72,26.84,3.79
2.584,3.649,0.305,17.12,48.4,3.72
3.887,1.663,1.535,29.6,56.8,15.2
4.412,1.088,1.53,17.72,47.6,17.72
2.795,3.645,0.3,13.4,37.76,4.24
2.837,3.679,0.425,4.68,22.56,5.08
2.832,3.676,0.36,4.44,18.96,6.68
3.308,2.963,1.06,28,50,17.32
3.422,2.851,0.9,49,70.4,9.52
3.692,2.43,1.61,9.44,42.8,5
4.331,1.449,0.95,19.6,37.88,12
4.333,1.455,0.82,32.1,63.2,10.32
4.502,1.167,0.86,12.7,37.08,12.12
3.228,3.617,1.835,45.92,80.4,13.32
3.768,2.775,0.22,6.67,31.88,10.8
3.768,2.675,1.095,6.2,46.8,12.12
3.798,2.694,0.995,5.38,51.2,9.68
4.59,1.414,0.96,16.4,30.76,11.72
4.571,1.407,1.4,15.24,38.4,10.72
4.745,1.372,0.69,16.44,34.12,11.96
4.788,1.647,0.72,11.4,32.68,8.8
2.974,4.937,2.26,12.64,36.28,5.88
2.906,4.922,1.13,5.92,21.6,4.32
3.109,4.729,0.645,8.4,28.56,3.12
3.04,4.713,0.63,7.24,26,3.66
3.919,3.466,0.86,12.8,28.6,9.76
4.189,3.045,1.645,35.6,67.6,8.08
3.652,4.312,3.149,8.24,56,10.72
3.894,3.805,0.552,50,91.2,14.32
3.917,3.773,1.568,18.4,43.6,13.56
3.925,3.779,0.855,11.4,29.68,14.24
4.252,3.292,0.733,39.2,65.6,11.8
4.292,3.29,2.08,71.6,52.8,11.92
4.283,3.278,0.844,21.04,34.68,13.88
3.53,4.999,0.49,4.64,31.64,7.44
4.07,4.157,1.916,45.6,50,14.36
4.61,3.315,1.384,7.48,48,12.68
3.605,5.345,0.849,18.4,35,9.04
2.672,3.558,1.57,18.6,38.2,8.28
3.589,4.443,2.045,11.48,33.36,10.8
4.01,4.713,1.203,13.04,26.56,12
2.942,3.137,0.49,5.64,25.88,10.92
1.409,2.748,0.692,10.32,31.16,8.12
3.978,2.91,1.75,8.36,37.72,9.12
2.715,2.1,0.415,4.44,41,9.12
3.87,0.762,0.685,10.92,30.84,11.72
2.445,2.521,0.92,30.28,68.12,10.56
3.827,2.219,2.12,7.35,54.4,6.36
2.488,1.064,0.495,17.08,46.8,8.52
1.646,0.524,1.06,18.88,55.2,14.44
3.136,2.37,0.79,3.98,35.28,5.2
3.74,5.134,0.772,8.16,30.16,10.84
1.678,2.327,1.188,31.36,72.4,9.68
4.399,3.18,1.615,91.2,108.8,11.96
3.935,4.368,3.023,19.72,45.6,12.76
3.33,1.604,2.315,113.12,144.36,9.92
3.557,2.64,2.65,12.3,54.4,8.84
1.376,0.945,3.78,32.76,94.4,9.68
2.024,2.251,1.805,55.6,142,12.6
3.31,4.594,1.58,56.4,93.6,5.8
4.097,1.798,1.93,19.3,46.4,13.8
2.326,3.633,0.415,18.32,31.92,2.36
3.514,4.098,0.675,9.24,27.24,6.56
3.168,4.173,0.745,8.52,30.28,3.94
4.292,1.039,1.42,18.8,36.48,11.12
2.834,0.988,1.425,13.32,53.6,15.24
4.443,1.723,1.31,17.7,48.4,12.72
3.482,2.295,1.765,127,300,10.32
3.665,4.789,0.647,9.76,21.76,8.72
4.173,2.144,1.81,17.9,48.8,13.2
2.143,1.139,0.394,39.56,105.6,4.44
3.061,2.025,1.6,20.6,35.72,10.92
2.985,1.679,1.675,22.92,61.44,14.4
3.438,3.752,1.28,13.04,43.6,6.36
4.637,0.956,0.87,16.5,35.32,12.8
3.049,5.285,0.8,7.68,48.4,12.4
1.106,1.366,0.475,22.68,55.2,3.96
3.633,2.986,0.855,25.5,51.6,12.4
3.708,3.331,1.34,10.32,41.2,9.32
2.909,1.334,1.805,28.92,74.36,6.12
2.102,2.597,0.825,31.2,70.4,15.32
1.797,1.215,0.545,33.08,58,4.24
3.255,1.253,1.78,154.6,239.96,11.4
4.129,3.601,2.566,7.88,55.2,10.6
3.363,3.407,0.61,7.86,34.84,14.8
1.452,1.29,0.585,15.16,56.4,5.8
4.745,3.105,1.436,14.2,32.68,5.24
0.491,1.862,2.415,21.32,48.4,7.88
2.369,2.176,0.75,73.12,139.16,15.6
3.676,1.528,0.805,38.72,88.32,11.12
1.257,2.057,0.65,12.8,41.6,11.44
3.903,2.565,0.51,5.96,62.4,1.65
1.603,1.981,0.705,16.04,38.24,13.04
3.395,5.21,1.112,13.12,25.56,9.8
2.564,1.409,1.31,117.6,152.8,8.44
0.912,2.132,2.2,11.88,51.6,10.48
3.093,3.828,0.45,11.5,30.92,7.96
0.836,1.787,0.825,12.96,50,14.32
2.758,0.643,1.245,13.08,88,8.08
3.017,3.482,1.09,8.8,26.32,12.8
3.212,2.716,0.78,29.8,60.4,12.52
4.022,1.453,1.95,22.6,52,10.6
4.054,3.256,1.31,21.16,52.8,8.92
2.521,2.867,1.585,11.4,39.36,13.2
3.319,4.864,0.52,6.04,21.12,5.08
2.823,4.249,1.005,7.08,35.4,5.36
1.722,0.869,0.57,21.36,67.2,4.08
2.251,3.288,0.33,5.72,18.68,1.92
1.182,1.711,2.535,8.72,55.6,12.56
1.83,3.018,2.685,32.68,69.32,10.12
3.752,1.874,0.69,20.8,55.6,13.6
2.218,1.485,0.375,19.36,45.2,12.04
1.873,1.56,1.955,26.08,60.4,9.68
3.6,1.183,1.185,22.72,49.72,10
2.887,4.889,1.325,5.4,37.52,3.74
1.527,1.636,0.795,42,84.8,7.92
1.333,2.407,1.63,20.56,46,13.4
2.413,0.718,0.677,11.92,38.16,12.48
1.948,1.906,1.298,22.24,45.6,12
1.754,2.672,1.53,16.24,43.6,10.36
2.294,1.83,0.67,8.72,32.76,9.72
2.639,1.755,1.01,5.96,67.36,9.96
1.905,3.363,0.5,16.68,39.76,4.8
2.175,2.942,1.665,37,43.8,14.8
2.791,2.446,1.52,16.32,57.52,9.16
2.866,2.791,1.315,14,45.96,11.2
3.407,1.953,1.325,9.92,38.4,9.12
3.946,1.107,0.495,7.52,33,8.28
2.452,3.995,0.395,12.72,28.24,3.56
2.747,3.903,0.38,3.55,21.12,5.44
3.287,3.061,2.085,39,52.4,13.2
4.367,1.377,2.61,24,47.2,20.6
4.713,1.302,0.845,10.28,33.64,9.68
4.248,2.489,1.22,5.52,48.8,5.24
3.784,3.677,0.64,6.68,34.32,13.92
4.324,2.835,1.65,8.88,60,8.72
3.859,4.022,1.433,43.6,60.8,13.32
2.593,3.312,0.325,8.08,26.2,10.6
